text,label
Good morning project,2
I hate you,0
idiotic behavior,1
Have a great day project,2
Go back to where you came from them,0
You sound like a idiotic,1
Hope you are doing well project,2
I despise you,0
You sound like a foolish,1
Nice work on event,2
you people are the worst,0
You sound like a idiotic,1
This is a great day,2
Go back to where you came from those people,0
That was a idiotic thing to say,1
Good morning work,2
I despise that group,0
You sound like a foolish,1
Good morning project,2
I despise others,0
ridiculous behavior,1
Have a great day event,2
I hate them,0
That was a foolish thing to say,1
This is a great event,2
others should not exist,0
That was a ridiculous thing to say,1
Good morning event,2
I hate them,0
That was a ridiculous thing to say,1
This is a great task,2
I despise others,0
ridiculous behavior,1
Have a great day project,2
Go back to where you came from them,0
What a ridiculous idea,1
Have a great day work,2
you people are the worst,0
That was a dumb thing to say,1
This is a great work,2
you people are the worst,0
idiotic behavior,1
Have a great day task,2
I hate others,0
You sound like a foolish,1
Nice work on event,2
them people are the worst,0
You sound like a dumb,1
Good morning project,2
you should not exist,0
That was a idiotic thing to say,1
This is a great work,2
them people are the worst,0
What a dumb idea,1
Good morning event,2
Go back to where you came from you,0
dumb behavior,1
Good morning work,2
them should not exist,0
foolish behavior,1
This is a great work,2
them should not exist,0
You sound like a stupid,1
Hope you are doing well task,2
I hate you,0
What a dumb idea,1
Hope you are doing well work,2
I despise you,0
That was a idiotic thing to say,1
Hope you are doing well project,2
I hate you,0
You sound like a stupid,1
This is a great project,2
those people should not exist,0
That was a ridiculous thing to say,1
Have a great day project,2
that group people are the worst,0
You are so stupid,1
Have a great day work,2
I hate you,0
You sound like a idiotic,1
Good morning task,2
I despise you,0
That was a stupid thing to say,1
Hope you are doing well task,2
I hate that group,0
What a ridiculous idea,1
Nice work on day,2
I despise others,0
What a dumb idea,1
This is a great project,2
others should not exist,0
stupid behavior,1
Have a great day work,2
I despise others,0
You are so foolish,1
Hope you are doing well day,2
others people are the worst,0
ridiculous behavior,1
This is a great task,2
I despise you,0
dumb behavior,1
This is a great day,2
I despise that group,0
You are so dumb,1
Have a great day work,2
them should not exist,0
ridiculous behavior,1
Good morning work,2
you should not exist,0
What a idiotic idea,1
Have a great day event,2
others people are the worst,0
You are so ridiculous,1
Good morning task,2
those people should not exist,0
You are so foolish,1
Hope you are doing well event,2
others people are the worst,0
idiotic behavior,1
Have a great day event,2
I despise that group,0
That was a dumb thing to say,1
Hope you are doing well event,2
others should not exist,0
You are so ridiculous,1
Hope you are doing well task,2
them should not exist,0
What a idiotic idea,1
This is a great project,2
I hate you,0
You are so foolish,1
Have a great day project,2
others people are the worst,0
You are so idiotic,1
Nice work on work,2
I despise those people,0
That was a dumb thing to say,1
This is a great event,2
I hate you,0
You sound like a dumb,1
Have a great day work,2
I hate that group,0
What a foolish idea,1
Nice work on project,2
I despise you,0
What a dumb idea,1
Have a great day task,2
I hate those people,0
That was a ridiculous thing to say,1
This is a great work,2
others should not exist,0
That was a idiotic thing to say,1
This is a great day,2
I hate you,0
You are so foolish,1
Have a great day day,2
others should not exist,0
What a idiotic idea,1
Good morning day,2
I despise them,0
You are so stupid,1
Have a great day day,2
Go back to where you came from others,0
You are so ridiculous,1
Nice work on work,2
Go back to where you came from you,0
idiotic behavior,1
Good morning day,2
I hate you,0
ridiculous behavior,1
This is a great day,2
I despise you,0
You sound like a stupid,1
Nice work on event,2
Go back to where you came from others,0
What a foolish idea,1
Have a great day work,2
you people are the worst,0
You sound like a dumb,1
Have a great day task,2
I hate that group,0
You are so foolish,1
Nice work on work,2
others should not exist,0
foolish behavior,1
Good morning event,2
others people are the worst,0
You are so idiotic,1
Hope you are doing well event,2
I despise others,0
ridiculous behavior,1
Nice work on project,2
that group people are the worst,0
You are so stupid,1
Good morning day,2
Go back to where you came from you,0
You sound like a foolish,1
Hope you are doing well day,2
you should not exist,0
foolish behavior,1
This is a great day,2
Go back to where you came from that group,0
What a idiotic idea,1
Hope you are doing well work,2
you people are the worst,0
What a ridiculous idea,1
Have a great day work,2
you people are the worst,0
What a stupid idea,1
Hope you are doing well day,2
them people are the worst,0
What a dumb idea,1
Hope you are doing well event,2
others should not exist,0
foolish behavior,1
Nice work on task,2
Go back to where you came from you,0
ridiculous behavior,1
Nice work on task,2
I despise them,0
You are so stupid,1
Have a great day work,2
I despise you,0
You sound like a stupid,1
This is a great day,2
Go back to where you came from you,0
You are so ridiculous,1
This is a great task,2
them people are the worst,0
That was a foolish thing to say,1
Good morning task,2
I despise them,0
You are so stupid,1
This is a great event,2
I hate that group,0
You sound like a idiotic,1
Good morning day,2
you should not exist,0
You are so foolish,1
Hope you are doing well work,2
them people are the worst,0
You are so dumb,1
This is a great task,2
you people are the worst,0
You are so foolish,1
This is a great work,2
I despise that group,0
That was a dumb thing to say,1
This is a great task,2
I hate others,0
You are so idiotic,1
Good morning task,2
you people are the worst,0
What a ridiculous idea,1
Good morning task,2
those people should not exist,0
That was a foolish thing to say,1
This is a great work,2
I despise you,0
You sound like a dumb,1
Hope you are doing well project,2
I despise others,0
You sound like a foolish,1
This is a great event,2
I despise them,0
You are so dumb,1
Hope you are doing well day,2
Go back to where you came from them,0
You are so stupid,1
Have a great day day,2
others should not exist,0
You sound like a idiotic,1
Nice work on day,2
those people people are the worst,0
What a idiotic idea,1
Nice work on work,2
I despise those people,0
What a idiotic idea,1
Nice work on work,2
others should not exist,0
You are so idiotic,1
This is a great project,2
them should not exist,0
That was a idiotic thing to say,1
Hope you are doing well day,2
I despise that group,0
ridiculous behavior,1
Have a great day event,2
I hate others,0
You sound like a ridiculous,1
Have a great day event,2
I despise others,0
You are so idiotic,1
Nice work on task,2
I hate you,0
You sound like a idiotic,1
Good morning task,2
I hate others,0
What a stupid idea,1
Hope you are doing well project,2
I despise you,0
foolish behavior,1
Have a great day task,2
them should not exist,0
What a idiotic idea,1
Have a great day project,2
those people should not exist,0
dumb behavior,1
Have a great day task,2
those people people are the worst,0
You are so dumb,1
Nice work on event,2
them people are the worst,0
You sound like a idiotic,1
Hope you are doing well event,2
them should not exist,0
You are so dumb,1
Hope you are doing well work,2
I despise others,0
You sound like a foolish,1
Nice work on project,2
Go back to where you came from you,0
You are so dumb,1
This is a great event,2
I despise those people,0
You are so ridiculous,1
Good morning day,2
those people should not exist,0
You are so idiotic,1
Have a great day event,2
others should not exist,0
dumb behavior,1
Good morning event,2
I despise those people,0
stupid behavior,1
Hope you are doing well event,2
Go back to where you came from others,0
You are so stupid,1
Hope you are doing well event,2
those people should not exist,0
That was a dumb thing to say,1
Have a great day work,2
I hate them,0
idiotic behavior,1
Good morning day,2
Go back to where you came from you,0
That was a foolish thing to say,1
Hope you are doing well work,2
you should not exist,0
What a stupid idea,1
Have a great day work,2
those people should not exist,0
You are so foolish,1
